group	bin_start	bin_end	bin_center	n_motifs	n_genes	motifs_per_gene_per_bin
low_clip_control	0.0	0.025	0.0125	3276	5728	0.571927374301676
low_clip_control	0.025	0.05	0.037500000000000006	3403	5728	0.5940991620111732
low_clip_control	0.05	0.07500000000000001	0.0625	3847	5728	0.6716131284916201
low_clip_control	0.07500000000000001	0.1	0.08750000000000001	3998	5728	0.6979748603351955
low_clip_control	0.1	0.125	0.1125	4203	5728	0.733763966480447
low_clip_control	0.125	0.15000000000000002	0.1375	4206	5728	0.7342877094972067
low_clip_control	0.15000000000000002	0.17500000000000002	0.16250000000000003	4287	5728	0.7484287709497207
low_clip_control	0.17500000000000002	0.2	0.1875	4318	5728	0.7538407821229051
low_clip_control	0.2	0.225	0.21250000000000002	4258	5728	0.7433659217877095
low_clip_control	0.225	0.25	0.2375	4304	5728	0.7513966480446927
low_clip_control	0.25	0.275	0.2625	4331	5728	0.7561103351955307
low_clip_control	0.275	0.30000000000000004	0.28750000000000003	4259	5728	0.7435405027932961
low_clip_control	0.30000000000000004	0.325	0.3125	4135	5728	0.7218924581005587
low_clip_control	0.325	0.35000000000000003	0.3375	4149	5728	0.724336592178771
low_clip_control	0.35000000000000003	0.375	0.36250000000000004	4186	5728	0.7307960893854749
low_clip_control	0.375	0.4	0.3875	4175	5728	0.7288756983240223
low_clip_control	0.4	0.42500000000000004	0.41250000000000003	4091	5728	0.7142108938547486
low_clip_control	0.42500000000000004	0.45	0.4375	3978	5728	0.6944832402234636
low_clip_control	0.45	0.47500000000000003	0.4625	4014	5728	0.700768156424581
low_clip_control	0.47500000000000003	0.5	0.48750000000000004	3907	5728	0.6820879888268156
low_clip_control	0.5	0.525	0.5125	4013	5728	0.7005935754189944
low_clip_control	0.525	0.55	0.5375000000000001	3965	5728	0.692213687150838
low_clip_control	0.55	0.5750000000000001	0.5625	3955	5728	0.690467877094972
low_clip_control	0.5750000000000001	0.6000000000000001	0.5875000000000001	3761	5728	0.6565991620111732
low_clip_control	0.6000000000000001	0.625	0.6125	3778	5728	0.6595670391061452
low_clip_control	0.625	0.65	0.6375	3651	5728	0.6373952513966481
low_clip_control	0.65	0.675	0.6625000000000001	3758	5728	0.6560754189944135
low_clip_control	0.675	0.7000000000000001	0.6875	3663	5728	0.6394902234636871
low_clip_control	0.7000000000000001	0.7250000000000001	0.7125000000000001	3699	5728	0.6457751396648045
low_clip_control	0.7250000000000001	0.75	0.7375	3539	5728	0.6178421787709497
low_clip_control	0.75	0.775	0.7625	3541	5728	0.6181913407821229
low_clip_control	0.775	0.8	0.7875000000000001	3496	5728	0.6103351955307262
low_clip_control	0.8	0.8250000000000001	0.8125	3432	5728	0.5991620111731844
low_clip_control	0.8250000000000001	0.8500000000000001	0.8375000000000001	3348	5728	0.5844972067039106
low_clip_control	0.8500000000000001	0.875	0.8625	3405	5728	0.5944483240223464
low_clip_control	0.875	0.9	0.8875	3290	5728	0.5743715083798883
low_clip_control	0.9	0.925	0.9125000000000001	3273	5728	0.5714036312849162
low_clip_control	0.925	0.9500000000000001	0.9375	3156	5728	0.5509776536312849
low_clip_control	0.9500000000000001	0.9750000000000001	0.9625000000000001	3087	5728	0.53893156424581
low_clip_control	0.9750000000000001	1.0	0.9875	2787	5728	0.4865572625698324
high_clip_target	0.0	0.025	0.0125	607	728	0.8337912087912088
high_clip_target	0.025	0.05	0.037500000000000006	787	728	1.081043956043956
high_clip_target	0.05	0.07500000000000001	0.0625	796	728	1.0934065934065933
high_clip_target	0.07500000000000001	0.1	0.08750000000000001	889	728	1.2211538461538463
high_clip_target	0.1	0.125	0.1125	912	728	1.2527472527472527
high_clip_target	0.125	0.15000000000000002	0.1375	940	728	1.2912087912087913
high_clip_target	0.15000000000000002	0.17500000000000002	0.16250000000000003	928	728	1.2747252747252746
high_clip_target	0.17500000000000002	0.2	0.1875	924	728	1.2692307692307692
high_clip_target	0.2	0.225	0.21250000000000002	924	728	1.2692307692307692
high_clip_target	0.225	0.25	0.2375	967	728	1.3282967032967032
high_clip_target	0.25	0.275	0.2625	855	728	1.1744505494505495
high_clip_target	0.275	0.30000000000000004	0.28750000000000003	963	728	1.3228021978021978
high_clip_target	0.30000000000000004	0.325	0.3125	895	728	1.2293956043956045
high_clip_target	0.325	0.35000000000000003	0.3375	872	728	1.1978021978021978
high_clip_target	0.35000000000000003	0.375	0.36250000000000004	862	728	1.184065934065934
high_clip_target	0.375	0.4	0.3875	860	728	1.1813186813186813
high_clip_target	0.4	0.42500000000000004	0.41250000000000003	818	728	1.1236263736263736
high_clip_target	0.42500000000000004	0.45	0.4375	838	728	1.151098901098901
high_clip_target	0.45	0.47500000000000003	0.4625	873	728	1.1991758241758241
high_clip_target	0.47500000000000003	0.5	0.48750000000000004	805	728	1.1057692307692308
high_clip_target	0.5	0.525	0.5125	750	728	1.0302197802197801
high_clip_target	0.525	0.55	0.5375000000000001	779	728	1.070054945054945
high_clip_target	0.55	0.5750000000000001	0.5625	821	728	1.1277472527472527
high_clip_target	0.5750000000000001	0.6000000000000001	0.5875000000000001	746	728	1.0247252747252746
high_clip_target	0.6000000000000001	0.625	0.6125	739	728	1.01510989010989
high_clip_target	0.625	0.65	0.6375	734	728	1.0082417582417582
high_clip_target	0.65	0.675	0.6625000000000001	721	728	0.9903846153846154
high_clip_target	0.675	0.7000000000000001	0.6875	770	728	1.0576923076923077
