group	fraction_aag_like_cds	fraction_aag_like_3utr
other	0.5652173913043478	0.4347826086956521
low_clip_control	0.6875	0.0625
other	0.9545454545454546	0.0227272727272727
low_clip_control	0.4411764705882353	0.5588235294117647
other	0.2	0.8
low_clip_control	0.6296296296296297	0.2962962962962963
low_clip_control	0.75	0.25
other	0.36	0.6
other	0.9565217391304348	0.0434782608695652
low_clip_control	0.7741935483870968	0.0967741935483871
low_clip_control	0.3181818181818182	0.5909090909090909
low_clip_control	0.6136363636363636	0.2272727272727272
low_clip_control	0.7222222222222222	0.2777777777777778
low_clip_control	0.4615384615384615	0.5384615384615384
low_clip_control	0.5714285714285714	0.0
low_clip_control	0.4883720930232558	0.4651162790697674
low_clip_control	0.3076923076923077	0.6153846153846154
other	0.2295081967213114	0.7377049180327869
other	0.3018867924528302	0.660377358490566
low_clip_control	0.9090909090909092	0.0
low_clip_control	0.4509803921568627	0.5490196078431373
other	0.3783783783783784	0.5675675675675675
high_clip_target	0.5925925925925926	0.3703703703703703
low_clip_control	0.375	0.5
other	0.5714285714285714	0.4285714285714285
other	0.875	0.0
other	0.7142857142857143	0.1428571428571428
functional_target	0.6756756756756757	0.3243243243243243
other	0.4222222222222222	0.5111111111111111
low_clip_control	1.0	0.0
low_clip_control	0.4333333333333333	0.5
low_clip_control	0.8095238095238095	0.1904761904761904
low_clip_control	0.4166666666666667	0.3333333333333333
low_clip_control	0.9090909090909092	0.0
other	0.5416666666666666	0.4583333333333333
low_clip_control	0.1111111111111111	0.6666666666666666
low_clip_control	1.0	0.0
other	0.984126984126984	0.0158730158730158
other	0.8	0.2
low_clip_control	0.8235294117647058	0.1764705882352941
low_clip_control	0.8181818181818182	0.1818181818181818
other	0.7333333333333333	0.2
functional_target	0.84375	0.0625
low_clip_control	0.9444444444444444	0.0555555555555555
functional_target	0.5806451612903226	0.3870967741935484
low_clip_control	0.2727272727272727	0.7090909090909091
low_clip_control	0.625	0.375
low_clip_control	0.8235294117647058	0.0588235294117647
low_clip_control	0.4444444444444444	0.4444444444444444
low_clip_control	0.4736842105263157	0.4210526315789473
functional_target	0.4193548387096774	0.5806451612903226
low_clip_control	0.3783783783783784	0.5945945945945946
other	0.4444444444444444	0.3333333333333333
low_clip_control	0.6086956521739131	0.391304347826087
other	0.6333333333333333	0.3
other	0.2222222222222222	0.6111111111111112
other	0.75	0.0
other	0.3043478260869565	0.6739130434782609
low_clip_control	0.2105263157894736	0.6842105263157895
other	0.3333333333333333	0.6296296296296297
other	0.1666666666666666	0.8333333333333334
other	0.8636363636363636	0.0
high_clip_target	0.3870967741935484	0.4516129032258064
low_clip_control	0.6724137931034483	0.2586206896551724
other	0.9380530973451328	0.0619469026548672
other	0.7346938775510204	0.2448979591836734
other	0.3888888888888889	0.6111111111111112
low_clip_control	0.8421052631578947	0.0526315789473684
low_clip_control	0.75	0.125
low_clip_control	0.4285714285714285	0.5714285714285714
other	0.8648648648648649	0.0
low_clip_control	0.2727272727272727	0.6666666666666666
low_clip_control	1.0	0.0
low_clip_control	0.5625	0.4375
low_clip_control	0.6363636363636364	0.3409090909090909
low_clip_control	0.7297297297297297	0.1621621621621621
low_clip_control	0.8275862068965517	0.1724137931034483
low_clip_control	0.8333333333333334	0.1666666666666666
other	0.5238095238095238	0.4523809523809524
low_clip_control	0.782608695652174	0.1739130434782608
low_clip_control	0.7121212121212122	0.1969696969696969
low_clip_control	0.8148148148148148	0.1851851851851851
low_clip_control	0.546875	0.421875
low_clip_control	0.0975609756097561	0.8780487804878049
low_clip_control	0.5	0.4444444444444444
other	0.6086956521739131	0.3478260869565217
other	0.631578947368421	0.3684210526315789
low_clip_control	0.3333333333333333	0.6666666666666666
low_clip_control	0.4888888888888889	0.4888888888888889
low_clip_control	0.2571428571428571	0.7142857142857143
other	0.6875	0.3125
low_clip_control	0.6923076923076923	0.2307692307692307
other	0.6	0.4
low_clip_control	0.7083333333333334	0.2916666666666667
low_clip_control	0.90625	0.0625
other	0.5357142857142857	0.2142857142857142
other	0.4666666666666667	0.2666666666666666
low_clip_control	0.2608695652173913	0.6956521739130435
low_clip_control	0.717948717948718	0.282051282051282
low_clip_control	0.5909090909090909	0.3181818181818182
low_clip_control	0.4166666666666667	0.4583333333333333
other	0.2857142857142857	0.7142857142857143
low_clip_control	0.7142857142857143	0.0
low_clip_control	0.8636363636363636	0.0909090909090909
other	0.3478260869565217	0.5217391304347826
low_clip_control	0.875	0.125
low_clip_control	0.8	0.2
low_clip_control	0.7586206896551724	0.1724137931034483
low_clip_control	0.5384615384615384	0.2307692307692307
other	0.5217391304347826	0.391304347826087
low_clip_control	0.75	0.15625
low_clip_control	0.4090909090909091	0.5
low_clip_control	0.7	0.2
other	0.64	0.3333333333333333
low_clip_control	0.4166666666666667	0.5833333333333334
low_clip_control	0.6666666666666666	0.3333333333333333
other	0.6363636363636364	0.0909090909090909
low_clip_control	0.7222222222222222	0.2222222222222222
low_clip_control	0.6111111111111112	0.2777777777777778
other	0.7	0.1
low_clip_control	0.8181818181818182	0.1818181818181818
low_clip_control	1.0	0.0
low_clip_control	0.6	0.2
other	0.34375	0.625
other	0.2903225806451613	0.6451612903225806
low_clip_control	0.935064935064935	0.0
high_clip_target	0.946153846153846	0.0307692307692307
low_clip_control	0.2368421052631578	0.7631578947368421
other	0.6071428571428571	0.3214285714285714
other	0.8333333333333334	0.1666666666666666
low_clip_control	0.7222222222222222	0.0555555555555555
other	0.5	0.5
low_clip_control	0.2	0.7428571428571429
low_clip_control	0.25	0.7272727272727273
other	0.7368421052631579	0.2631578947368421
low_clip_control	0.8095238095238095	0.1666666666666666
low_clip_control	0.9090909090909092	0.0909090909090909
low_clip_control	0.9444444444444444	0.0
low_clip_control	0.8333333333333334	0.125
low_clip_control	0.8333333333333334	0.0833333333333333
low_clip_control	0.8461538461538461	0.0769230769230769
high_clip_target	0.2884615384615384	0.7115384615384616
low_clip_control	0.7619047619047619	0.1428571428571428
low_clip_control	0.8571428571428571	0.1428571428571428
low_clip_control	0.7083333333333334	0.25
other	0.3076923076923077	0.6923076923076923
high_clip_target	0.3055555555555556	0.6944444444444444
low_clip_control	0.8620689655172413	0.1034482758620689
low_clip_control	0.6666666666666666	0.25
low_clip_control	0.2592592592592592	0.6666666666666666
other	0.4615384615384615	0.2307692307692307
other	0.7647058823529411	0.2352941176470588
other	0.9230769230769232	0.0769230769230769
low_clip_control	0.8571428571428571	0.0476190476190476
other	0.6666666666666666	0.3
low_clip_control	0.8333333333333334	0.1666666666666666
low_clip_control	0.6818181818181818	0.3181818181818182
low_clip_control	1.0	0.0
other	0.1071428571428571	0.8571428571428571
low_clip_control	0.9230769230769232	0.0
other	0.5	0.3888888888888889
other	0.8421052631578947	0.131578947368421
other	0.8888888888888888	0.1111111111111111
low_clip_control	0.75	0.1875
low_clip_control	0.4727272727272727	0.4909090909090909
other	0.7368421052631579	0.2631578947368421
low_clip_control	0.5	0.3888888888888889
low_clip_control	0.8333333333333334	0.1666666666666666
high_clip_target	0.3448275862068966	0.5172413793103449
low_clip_control	0.6785714285714286	0.3214285714285714
low_clip_control	0.75	0.25
low_clip_control	0.6296296296296297	0.3703703703703703
other	0.84375	0.125
other	0.6206896551724138	0.2758620689655172
low_clip_control	0.6226415094339622	0.3584905660377358
